match_mode,strategy,model,student,question,expected_id,expected_category,is_clean,detected_name,matched_id,fuzzy_score,semantic_score,match_score,result,confidence
hybrid,baseline,openai/gpt-5.1,Simon_Jeffrey_923974,Q3,NM_IO_01,The Anthropomorphic I/O Machine,False,,,0.0,0.0,0.0,FN,
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025,Simon_Jeffrey_923974,Q3,NM_IO_01,The Anthropomorphic I/O Machine,False,Input Variable Order Confusion,NM_IO_01,0.0,0.7244318120274079,0.32599431541233354,TP,1.0
hybrid,baseline,anthropic/claude-haiku-4.5,Simon_Jeffrey_923974,Q3,NM_IO_01,The Anthropomorphic I/O Machine,False,Input Order Misalignment with Prompt,NM_IO_01,0.0,0.7589148487794168,0.34151168195073756,TP,0.95
hybrid,baseline,openai/gpt-5.1:reasoning,Simon_Jeffrey_923974,Q3,NM_IO_01,The Anthropomorphic I/O Machine,False,,,0.0,0.0,0.0,FN,
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025:reasoning,Simon_Jeffrey_923974,Q3,NM_IO_01,The Anthropomorphic I/O Machine,False,Input Order vs. Variable Assignment Mapping,NM_IO_01,0.0,0.6840301230513997,0.3078135553731298,TP,1.0
hybrid,baseline,anthropic/claude-haiku-4.5:reasoning,Simon_Jeffrey_923974,Q3,NM_IO_01,The Anthropomorphic I/O Machine,False,Input Variable Assignment Order Confusion,NM_IO_01,0.0,0.7493125856246509,0.33719066353109284,TP,0.95
hybrid,baseline,openai/gpt-5.1,Adams_Maria_564451,Q3,NM_SYN_01,The Algebraic Syntax Machine,False,Using ^ as an exponent operator,NM_SYN_01,0.0,0.7881345801530183,0.3546605610688582,TP,0.99
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025,Adams_Maria_564451,Q3,NM_SYN_01,The Algebraic Syntax Machine,False,Bitwise XOR Misinterpreted as Exponentiation,NM_SYN_01,0.0,0.8532942126002919,0.3839823956701313,TP,1.0
hybrid,baseline,anthropic/claude-haiku-4.5,Adams_Maria_564451,Q3,NM_SYN_01,The Algebraic Syntax Machine,False,Bitwise XOR Confused with Exponentiation,NM_SYN_01,0.0,0.8404504495614686,0.37820270230266084,TP,0.99
hybrid,baseline,openai/gpt-5.1:reasoning,Adams_Maria_564451,Q3,NM_SYN_01,The Algebraic Syntax Machine,False,Using '^' as exponentiation operator,NM_SYN_01,0.0,0.8326912038614444,0.3747110417376499,TP,0.98
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025:reasoning,Adams_Maria_564451,Q3,NM_SYN_01,The Algebraic Syntax Machine,False,XOR Operator Misinterpretation as Exponentiation,NM_SYN_01,0.0,0.8623349678726938,0.3880507355427122,TP,1.0
hybrid,baseline,anthropic/claude-haiku-4.5:reasoning,Adams_Maria_564451,Q3,NM_SYN_01,The Algebraic Syntax Machine,False,Exponentiation Operator Confusion,NM_SYN_01,0.0,0.8388743931540639,0.3774934769193287,TP,0.95
hybrid,baseline,openai/gpt-5.1,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Input Value Lost Without Assignment,NM_IO_02,0.0,0.7467441202647935,0.33603485411915707,TP,0.93
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Input Variable Storage Neglect,NM_IO_02,0.0,0.7771950796581512,0.349737785846168,TP,1.0
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Misplaced Variable Initialization,NM_IO_02,0.0,0.5854431285789177,0.2634494078605129,TP,0.9
hybrid,baseline,anthropic/claude-haiku-4.5,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Variable Assignment Order Confusion,NM_IO_02,0.0,0.7546322983571243,0.3395845342607059,TP,0.99
hybrid,baseline,anthropic/claude-haiku-4.5,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Return Value Semantics Misunderstanding,NM_IO_02,0.0,0.7027845894096397,0.3162530652343378,TP,0.95
hybrid,baseline,openai/gpt-5.1:reasoning,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Ignoring user input and relying on hard-coded defaults,NM_IO_02,0.0,0.7021479781195741,0.3159665901538083,TP,0.9
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025:reasoning,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Unstored Input Data,NM_IO_02,0.0,0.7586677824449826,0.34140050210024214,TP,1.0
hybrid,baseline,google/gemini-2.5-flash-preview-09-2025:reasoning,Wright_Donna_588683,Q2,NM_IO_02,The Anthropomorphic I/O Machine,False,Redundant/Unnecessary Default Variable Initialization,NM_IO_02,0.0,0.5503057602682154,0.24763759212069691,TP,1.0
